eta,g_Popt,g_Palg,g_Pstar,g_mixture,G_Popt,G_Palg,G_Pstar,G_mixture
5.067111296373488782e-02,-1.422295566145956158e+01,-1.279378643733917897e+01,-1.037057006875643772e+01,-1.348133002891410470e+01,5.960644828357002378e-01,6.566999848842338672e-01,7.823563702483251614e-01,6.319276734524864603e-01
5.103376406836181850e-02,-1.408298006765269150e+01,-1.265442609042150579e+01,-1.023451676591514392e+01,-1.334210951827541081e+01,5.909318934058693795e-01,6.520855736922472889e-01,7.786201414975615354e-01,6.270638984616454525e-01
5.139641517298874918e-02,-1.394498765644306459e+01,-1.251705996588998460e+01,-1.010051026022831167e+01,-1.320488443671996137e+01,5.858497066780737894e-01,6.475213400805358566e-01,7.749328814907368024e-01,6.222502501204936198e-01
5.175906627761567291e-02,-1.380893688010273834e+01,-1.238164663409252597e+01,-9.968509294568132617e+00,-1.306961329246346537e+01,5.808172109826184037e-01,6.430065683544031740e-01,7.712938554355736054e-01,6.174860123079907170e-01
5.212171738224259665e-02,-1.367478734844579691e+01,-1.224814582189356393e+01,-9.838473773255076438e+00,-1.293625575201564715e+01,5.758337095072459944e-01,6.385405576339555633e-01,7.677023432911371792e-01,6.127704837401090066e-01
5.248436848686953426e-02,-1.354249978878477734e+01,-1.211651836917975800e+01,-9.710364724153924598e+00,-1.280477260054858846e+01,5.708985198846133757e-01,6.341226214425770280e-01,7.641576393535076672e-01,6.081029775569636309e-01
5.284701959149645800e-02,-1.341203600892177761e+01,-1.198672619465307498e+01,-9.584144222676453495e+00,-1.267512569738212136e+01,5.660109737937413232e-01,6.297520873094935023e-01,7.606590518621065833e-01,6.034828209252005582e-01
5.320967069612338174e-02,-1.328335885952612472e+01,-1.185873225901005412e+01,-9.459775367740553165e+00,-1.254727794097608751e+01,5.611704165749940021e-01,6.254282963852153543e-01,7.572059026241610979e-01,5.989093546548021063e-01
5.357232180075031241e-02,-1.315643219881291515e+01,-1.173250053173720531e+01,-9.337222282786118654e+00,-1.242119324060421448e+01,5.563762068582880360e-01,6.211506030696776204e-01,7.537975266433444288e-01,5.943819328273791669e-01
5.393497290537724309e-02,-1.303122085867041768e+01,-1.160799596019467828e+01,-9.216450042948832078e+00,-1.229683647498250743e+01,5.516277162038465409e-01,6.169183746520074951e-01,7.504332717614374815e-01,5.898999224370997663e-01
5.429762401000416683e-02,-1.290769061214448499e+01,-1.148518442550919261e+01,-9.097424627747248138e+00,-1.217417345690503439e+01,5.469243287549909738e-01,6.127309909638953833e-01,7.471124983217740656e-01,5.854627030455321623e-01
5.466027511463109750e-02,-1.278580814221701267e+01,-1.136403271719887798e+01,-8.980112948220625668e+00,-1.205317091325718515e+01,5.422654409024910693e-01,6.085878440455635419e-01,7.438345788363441846e-01,5.810696664465239136e-01
5.502292621925802818e-02,-1.266554101181863956e+01,-1.124450850373382416e+01,-8.864482782833771779e+00,-1.193379644846224430e+01,5.376504609600127882e-01,6.044883378216761027e-01,7.405988976596002971e-01,5.767202163413350791e-01
5.538557732388495192e-02,-1.254685763501119489e+01,-1.112658030405931697e+01,-8.750502716915757873e+00,-1.181601850955282274e+01,5.330788088502291799e-01,6.004318877877495853e-01,7.374048506848644990e-01,5.724137680267304962e-01
5.574822842851187565e-02,-1.242972724838517884e+01,-1.101021746634210707e+01,-8.638142175575579174e+00,-1.169980636941125773e+01,5.285499158013431398e-01,5.964179207055801957e-01,7.342518450457509172e-01,5.681497480924456722e-01
5.611087953313881327e-02,-1.231411988562173043e+01,-1.089539013027551562e+01,-8.527371377761031823e+00,-1.158513009738451238e+01,5.240632240534093267e-01,5.924458743093613533e-01,7.311392988199478804e-01,5.639275941270198711e-01
